team,opponent,competition,match_date,match_nutmegs,prediction,residual,abs_residual
Argentina,Canada,Copa America 2024,2024-07-10,2.0,0.18133678,1.8186632245779037,1.8186632245779037
Austria,Turkey,Euro 2024,2024-07-02,2.0,0.63038486,1.3696151375770569,1.3696151375770569
Spain,Germany,Euro 2024,2024-07-05,2.0,0.78822726,1.2117727398872375,1.2117727398872375
Turkey,Netherlands,Euro 2024,2024-07-06,2.0,0.8059759,1.1940240859985352,1.1940240859985352
Brazil,Colombia,Copa America 2024,2024-07-03,2.0,0.89170784,1.1082921624183655,1.1082921624183655
Spain,Germany,Euro 2024,2024-07-05,0.0,1.0020589,-1.0020588636398315,1.0020588636398315
England,Netherlands,Euro 2024,2024-07-10,0.0,0.9301017,-0.9301016926765442,0.9301016926765442
Brazil,Colombia,Copa America 2024,2024-07-03,1.0,0.1228765,0.8771234974265099,0.8771234974265099
Canada,Venezuela,Copa America 2024,2024-07-06,1.0,0.18515526,0.8148447424173355,0.8148447424173355
Germany,Spain,Euro 2024,2024-07-05,1.0,0.25797224,0.742027759552002,0.742027759552002
Turkey,Austria,Euro 2024,2024-07-02,0.0,0.72625095,-0.726250946521759,0.726250946521759
England,Spain,Euro 2024,2024-07-14,1.0,0.292187,0.7078129947185516,0.7078129947185516
Brazil,Uruguay,Copa America 2024,2024-07-07,1.0,0.30837002,0.6916299760341644,0.6916299760341644
Venezuela,Canada,Copa America 2024,2024-07-06,1.0,0.31361514,0.6863848567008972,0.6863848567008972
Netherlands,Turkey,Euro 2024,2024-07-06,1.0,0.31815922,0.6818407773971558,0.6818407773971558
