player,expected,actual,matches
Lamine Yamal Nasraoui Ebana,2.8706656,2.0,3
Barış Alper Yılmaz,1.7391657,2.0,2
Nicholas Williams Arthuer,1.7202868,4.0,3
Arda Güler,1.5322268,2.0,2
Cristiano Ronaldo dos Santos Aveiro,1.3298187,2.0,2
Petar Stojanović,1.3238002,2.0,1
Kylian Mbappé Lottin,1.2669324,0.0,3
Rodrygo Silva de Goes,1.2000779,3.0,2
Yeferson Julio Soteldo Martínez,1.0264335,2.0,2
Luis Fernando Díaz Marulanda,1.0088966,1.0,4
Phil Foden,0.9966923,2.0,3
Jonathan David,0.9853423,0.0,3
Lionel Andrés Messi Cuccittini,0.9707056,0.0,2
Jude Bellingham,0.95349866,1.0,3
Harry Kane,0.9301017,0.0,1
Kenan Yildiz,0.8236748,1.0,2
Cody Mathès Gakpo,0.80355173,1.0,3
Bradley Barcola,0.79518056,1.0,2
Darwin Gabriel Núñez Ribeiro,0.76375467,0.0,3
Daniel Olmo Carvajal,0.74455345,0.0,3
